lat_long,casualties_id,Casualties.casualties_id,Casualties.casualties,Casualties.fatalities,Casualties.serious_injuries,Casualties.minor_injuries,Location2.lat_long,Location2.latitude,Location2.longitude
"(-36.72249528971506, 145.34421525652135)",1c1m,1c1m,1,0,0,1,"(-36.72249528971506, 145.34421525652135)",-36.72249529,145.3442153
"(-37.342965157977766, 144.56957575086807)",1c1m,1c1m,1,0,0,1,"(-37.342965157977766, 144.56957575086807)",-37.34296516,144.5695758
"(-37.342965157977766, 144.56957575086807)",1c1m,1c1m,1,0,0,1,"(-37.342965157977766, 144.56957575086807)",-37.34296516,144.5695758
"(-36.990950416492254, 145.01138582389396)",1c1m,1c1m,1,0,0,1,"(-36.990950416492254, 145.01138582389396)",-36.99095042,145.0113858
"(-36.990950416492254, 145.01138582389396)",1c1m,1c1m,1,0,0,1,"(-36.990950416492254, 145.01138582389396)",-36.99095042,145.0113858
"(-36.990950416492254, 145.01138582389396)",1c1m,1c1m,1,0,0,1,"(-36.990950416492254, 145.01138582389396)",-36.99095042,145.0113858
"(-37.02865793732165, 144.96435488178147)",2c2m,2c2m,2,0,0,2,"(-37.02865793732165, 144.96435488178147)",-37.02865794,144.9643549
"(-37.02865793732165, 144.96435488178147)",1c1m,1c1m,1,0,0,1,"(-37.02865793732165, 144.96435488178147)",-37.02865794,144.9643549
"(-37.02865793732165, 144.96435488178147)",1c1m,1c1m,1,0,0,1,"(-37.02865793732165, 144.96435488178147)",-37.02865794,144.9643549
"(-37.084576393777276, 144.89448097715174)",1c1s,1c1s,1,0,1,0,"(-37.084576393777276, 144.89448097715174)",-37.08457639,144.8944810
"(-37.084576393777276, 144.89448097715174)",2c2m,2c2m,2,0,0,2,"(-37.084576393777276, 144.89448097715174)",-37.08457639,144.8944810
"(-37.11748569747418, 144.8532860649193)",3c1s2m,3c1s2m,3,0,1,2,"(-37.11748569747418, 144.8532860649193)",-37.11748570,144.8532861
"(-37.024787559490086, 144.96918546120432)",1c1m,1c1m,1,0,0,1,"(-37.024787559490086, 144.96918546120432)",-37.02478756,144.9691855
"(-36.92743284931879, 145.0904506669511)",1c1m,1c1m,1,0,0,1,"(-36.92743284931879, 145.0904506669511)",-36.92743285,145.0904507
"(-36.92743284931879, 145.0904506669511)",3c3m,3c3m,3,0,0,3,"(-36.92743284931879, 145.0904506669511)",-36.92743285,145.0904507
"(-36.92743284931879, 145.0904506669511)",1c1m,1c1m,1,0,0,1,"(-36.92743284931879, 145.0904506669511)",-36.92743285,145.0904507
"(-36.92813521675934, 145.0895774593062)",1c1m,1c1m,1,0,0,1,"(-36.92813521675934, 145.0895774593062)",-36.92813522,145.0895775
"(-37.03448478661823, 144.9570810558878)",1c1m,1c1m,1,0,0,1,"(-37.03448478661823, 144.9570810558878)",-37.03448479,144.9570811
"(-37.032210045128174, 144.95992088145167)",2c2m,2c2m,2,0,0,2,"(-37.032210045128174, 144.95992088145167)",-37.03221005,144.9599209
"(-37.032210045128174, 144.95992088145167)",1c1s,1c1s,1,0,1,0,"(-37.032210045128174, 144.95992088145167)",-37.03221005,144.9599209
"(-37.032210045128174, 144.95992088145167)",1c1m,1c1m,1,0,0,1,"(-37.032210045128174, 144.95992088145167)",-37.03221005,144.9599209
"(-36.89949717425194, 145.12516176616475)",1c1m,1c1m,1,0,0,1,"(-36.89949717425194, 145.12516176616475)",-36.89949717,145.1251618
"(-37.05176153761231, 144.9355041251634)",1c1s,1c1s,1,0,1,0,"(-37.05176153761231, 144.9355041251634)",-37.05176154,144.9355041
"(-37.05176153761231, 144.9355041251634)",2c2m,2c2m,2,0,0,2,"(-37.05176153761231, 144.9355041251634)",-37.05176154,144.9355041
"(-36.96233433433562, 145.0470307606502)",1c1m,1c1m,1,0,0,1,"(-36.96233433433562, 145.0470307606502)",-36.96233433,145.0470308
"(-36.98489318772194, 145.01893421914016)",1c1s,1c1s,1,0,1,0,"(-36.98489318772194, 145.01893421914016)",-36.98489319,145.0189342
"(-36.98489318772194, 145.01893421914016)",1c1m,1c1m,1,0,0,1,"(-36.98489318772194, 145.01893421914016)",-36.98489319,145.0189342
"(-36.98489318772194, 145.01893421914016)",1c1m,1c1m,1,0,0,1,"(-36.98489318772194, 145.01893421914016)",-36.98489319,145.0189342
"(-36.98489318772194, 145.01893421914016)",1c1m,1c1m,1,0,0,1,"(-36.98489318772194, 145.01893421914016)",-36.98489319,145.0189342
"(-37.01326518718327, 144.98356204456738)",1c1m,1c1m,1,0,0,1,"(-37.01326518718327, 144.98356204456738)",-37.01326519,144.9835620
"(-37.01326518718327, 144.98356204456738)",1c1m,1c1m,1,0,0,1,"(-37.01326518718327, 144.98356204456738)",-37.01326519,144.9835620
"(-37.03339430491359, 144.95844246348173)",1c1s,1c1s,1,0,1,0,"(-37.03339430491359, 144.95844246348173)",-37.03339430,144.9584425
"(-37.03198136745882, 144.96020635237196)",2c2m,2c2m,2,0,0,2,"(-37.03198136745882, 144.96020635237196)",-37.03198137,144.9602064
"(-37.03198136745882, 144.96020635237196)",2c2m,2c2m,2,0,0,2,"(-37.03198136745882, 144.96020635237196)",-37.03198137,144.9602064
"(-37.0306928820048, 144.96181479143078)",1c1m,1c1m,1,0,0,1,"(-37.0306928820048, 144.96181479143078)",-37.03069288,144.9618148
"(-36.90198195192136, 145.12207587922794)",1c1s,1c1s,1,0,1,0,"(-36.90198195192136, 145.12207587922794)",-36.90198195,145.1220759
"(-37.0041897206552, 144.99488099328795)",1c1m,1c1m,1,0,0,1,"(-37.0041897206552, 144.99488099328795)",-37.00418972,144.9948810
"(-37.0041897206552, 144.99488099328795)",1c1m,1c1m,1,0,0,1,"(-37.0041897206552, 144.99488099328795)",-37.00418972,144.9948810
"(-37.01714301390453, 144.9787243705668)",1c1m,1c1m,1,0,0,1,"(-37.01714301390453, 144.9787243705668)",-37.01714301,144.9787244
"(-37.576096524811334, 144.27350644672367)",1c1m,1c1m,1,0,0,1,"(-37.576096524811334, 144.27350644672367)",-37.57609652,144.2735064
"(-37.028811765044296, 144.96416287568545)",1c1s,1c1s,1,0,1,0,"(-37.028811765044296, 144.96416287568545)",-37.02881177,144.9641629
"(-37.00968370463957, 144.98802936464514)",1c1s,1c1s,1,0,1,0,"(-37.00968370463957, 144.98802936464514)",-37.00968370,144.9880294
"(-36.985552907606575, 145.01811217710463)",2c2m,2c2m,2,0,0,2,"(-36.985552907606575, 145.01811217710463)",-36.98555291,145.0181122
"(-36.985552907606575, 145.01811217710463)",1c1m,1c1m,1,0,0,1,"(-36.985552907606575, 145.01811217710463)",-36.98555291,145.0181122
"(-36.932524088533114, 145.08412051577557)",1c1s,1c1s,1,0,1,0,"(-36.932524088533114, 145.08412051577557)",-36.93252409,145.0841205
"(-37.02806272789418, 144.96509780473727)",1c1m,1c1m,1,0,0,1,"(-37.02806272789418, 144.96509780473727)",-37.02806273,144.9650978
"(-37.014671530574375, 144.9818076859307)",1c1m,1c1m,1,0,0,1,"(-37.014671530574375, 144.9818076859307)",-37.01467153,144.9818077
"(-36.75905880531148, 145.29908859744188)",1c1m,1c1m,1,0,0,1,"(-36.75905880531148, 145.29908859744188)",-36.75905881,145.2990886
"(-36.995596097521236, 145.00559524900126)",1c1m,1c1m,1,0,0,1,"(-36.995596097521236, 145.00559524900126)",-36.99559610,145.0055952
"(-36.995596097521236, 145.00559524900126)",1c1m,1c1m,1,0,0,1,"(-36.995596097521236, 145.00559524900126)",-36.99559610,145.0055952
"(-37.029996717946716, 144.96268379117373)",1c1s,1c1s,1,0,1,0,"(-37.029996717946716, 144.96268379117373)",-37.02999672,144.9626838
"(-37.50956890782456, 144.3582815631397)",1c1m,1c1m,1,0,0,1,"(-37.50956890782456, 144.3582815631397)",-37.50956891,144.3582816
